name,price,cuisine,reviews,Location url,location,no. of reviews,City
Nanak Vegetarian Dhaba,?100 for one,North Indian,4,https://www.zomato.com/jalandhar/nanak-vegetarian-dhaba-adarsh-nagar/order,Adarsh Nagar,43.5K,Jalandhar
Nanak Vegetarian Dhaba,?100 for one,Fast Food,4,https://www.zomato.com/jalandhar/nanak-vegetarian-dhaba-adarsh-nagar/order,Adarsh Nagar,43.5K,Jalandhar
Nanak Vegetarian Dhaba,?100 for one,South Indian,4,https://www.zomato.com/jalandhar/nanak-vegetarian-dhaba-adarsh-nagar/order,Adarsh Nagar,43.5K,Jalandhar
Nanak Vegetarian Dhaba,?100 for one,Chinese,4,https://www.zomato.com/jalandhar/nanak-vegetarian-dhaba-adarsh-nagar/order,Adarsh Nagar,43.5K,Jalandhar
Nanak Vegetarian Dhaba,?100 for one,Desserts,4,https://www.zomato.com/jalandhar/nanak-vegetarian-dhaba-adarsh-nagar/order,Adarsh Nagar,43.5K,Jalandhar
Burger King,?100 for one,Burger,4.2,https://www.zomato.com/jalandhar/burger-king-2-shastri-nagar/order,Shastri Nagar,20.8K,Jalandhar
Burger King,?100 for one,Fast Food,4.2,https://www.zomato.com/jalandhar/burger-king-2-shastri-nagar/order,Shastri Nagar,20.8K,Jalandhar
Burger King,?100 for one,Beverages,4.2,https://www.zomato.com/jalandhar/burger-king-2-shastri-nagar/order,Shastri Nagar,20.8K,Jalandhar
Guru Kirpa Pure Vegetarian Food,?100 for one,North Indian,3.7,https://www.zomato.com/jalandhar/guru-kirpa-pure-vegetarian-food-gt-road/order,GT Road,"6,275",Jalandhar
Guru Kirpa Pure Vegetarian Food,?100 for one,Chinese,3.7,https://www.zomato.com/jalandhar/guru-kirpa-pure-vegetarian-food-gt-road/order,GT Road,"6,275",Jalandhar
Guru Kirpa Pure Vegetarian Food,?100 for one,Beverages,3.7,https://www.zomato.com/jalandhar/guru-kirpa-pure-vegetarian-food-gt-road/order,GT Road,"6,275",Jalandhar
Guru Kirpa Pure Vegetarian Food,?100 for one,BBQ,3.7,https://www.zomato.com/jalandhar/guru-kirpa-pure-vegetarian-food-gt-road/order,GT Road,"6,275",Jalandhar
Guru Kirpa Pure Vegetarian Food,?100 for one,Fast Food,3.7,https://www.zomato.com/jalandhar/guru-kirpa-pure-vegetarian-food-gt-road/order,GT Road,"6,275",Jalandhar
Yummy Delicious Till Last Bite,?100 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/yummy-delicious-till-last-bite-6-model-town/order,Model Town,"6,795",Jalandhar
Yummy Delicious Till Last Bite,?100 for one,Pizza,4.1,https://www.zomato.com/jalandhar/yummy-delicious-till-last-bite-6-model-town/order,Model Town,"6,795",Jalandhar
Yummy Delicious Till Last Bite,?100 for one,Chinese,4.1,https://www.zomato.com/jalandhar/yummy-delicious-till-last-bite-6-model-town/order,Model Town,"6,795",Jalandhar
Yummy Delicious Till Last Bite,?100 for one,Desserts,4.1,https://www.zomato.com/jalandhar/yummy-delicious-till-last-bite-6-model-town/order,Model Town,"6,795",Jalandhar
Yummy Delicious Till Last Bite,?100 for one,Beverages,4.1,https://www.zomato.com/jalandhar/yummy-delicious-till-last-bite-6-model-town/order,Model Town,"6,795",Jalandhar
Oberoi Special Chana Bhatura,?100 for one,North Indian,4.3,https://www.zomato.com/jalandhar/oberoi-special-chana-bhatura-model-town/order,Model Town,27.7K,Jalandhar
Oberoi Special Chana Bhatura,?100 for one,Beverages,4.3,https://www.zomato.com/jalandhar/oberoi-special-chana-bhatura-model-town/order,Model Town,27.7K,Jalandhar
Shahi Daawat Dhaba,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/shahi-daawat-dhaba-shastri-nagar/order,Shastri Nagar,"6,502",Jalandhar
Kamal Vaishno Dhaba,?200 for one,North Indian,3.9,https://www.zomato.com/jalandhar/kamal-vaishno-dhaba-model-town/order,Model Town,11.4K,Jalandhar
Chhabra Sweets & Delights,?200 for one,Mithai,4,https://www.zomato.com/jalandhar/chhabra-sweets-delights-nakodar-road/order,Nakodar Road,29.5K,Jalandhar
Chhabra Sweets & Delights,?200 for one,Street Food,4,https://www.zomato.com/jalandhar/chhabra-sweets-delights-nakodar-road/order,Nakodar Road,29.5K,Jalandhar
Chhabra Sweets & Delights,?200 for one,Fast Food,4,https://www.zomato.com/jalandhar/chhabra-sweets-delights-nakodar-road/order,Nakodar Road,29.5K,Jalandhar
Chhabra Sweets & Delights,?200 for one,Desserts,4,https://www.zomato.com/jalandhar/chhabra-sweets-delights-nakodar-road/order,Nakodar Road,29.5K,Jalandhar
Pizza Roberto,?200 for one,Pizza,4.2,https://www.zomato.com/jalandhar/pizza-roberto-adarsh-nagar/order,Adarsh Nagar,"1,213",Jalandhar
Pizza Roberto,?200 for one,Fast Food,4.2,https://www.zomato.com/jalandhar/pizza-roberto-adarsh-nagar/order,Adarsh Nagar,"1,213",Jalandhar
Pizza Roberto,?200 for one,Beverages,4.2,https://www.zomato.com/jalandhar/pizza-roberto-adarsh-nagar/order,Adarsh Nagar,"1,213",Jalandhar
S.K Dhaba Vegetarian,?200 for one,North Indian,3.9,https://www.zomato.com/jalandhar/s-k-dhaba-vegetarian-shastri-nagar/order,Shastri Nagar,25K,Jalandhar
S.K Dhaba Vegetarian,?200 for one,Chinese,3.9,https://www.zomato.com/jalandhar/s-k-dhaba-vegetarian-shastri-nagar/order,Shastri Nagar,25K,Jalandhar
ASF - American Style Fried,?200 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/asf-american-style-fried-gt-road/order,GT Road,"4,788",Jalandhar
ASF - American Style Fried,?200 for one,Burger,4.1,https://www.zomato.com/jalandhar/asf-american-style-fried-gt-road/order,GT Road,"4,788",Jalandhar
ASF - American Style Fried,?200 for one,Beverages,4.1,https://www.zomato.com/jalandhar/asf-american-style-fried-gt-road/order,GT Road,"4,788",Jalandhar
New Aar Kay Vaishno Dhaba,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/new-aar-kay-vaishno-dhaba-adarsh-nagar/order,Adarsh Nagar,"7,537",Jalandhar
Food Plaza,?200 for one,Chinese,4.1,https://www.zomato.com/jalandhar/food-plaza-1-shastri-nagar/order,Shastri Nagar,"3,436",Jalandhar
Food Plaza,?200 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/food-plaza-1-shastri-nagar/order,Shastri Nagar,"3,436",Jalandhar
Food Plaza,?200 for one,Pizza,4.1,https://www.zomato.com/jalandhar/food-plaza-1-shastri-nagar/order,Shastri Nagar,"3,436",Jalandhar
Vanakkam,?200 for one,South Indian,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Vanakkam,?200 for one,North Indian,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Vanakkam,?200 for one,Chinese,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Vanakkam,?200 for one,Fast Food,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Vanakkam,?200 for one,Desserts,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Vanakkam,?200 for one,Beverages,3.9,https://www.zomato.com/jalandhar/vanakkam-model-town/order,Model Town,17.4K,Jalandhar
Bikanervala,?200 for one,Mithai,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,North Indian,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,South Indian,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,Chinese,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,Street Food,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Bikanervala,?200 for one,Beverages,4.1,https://www.zomato.com/jalandhar/bikanervala-1-model-town/order,Model Town,"9,555",Jalandhar
Pizza Hut,?200 for one,Pizza,4,https://www.zomato.com/jalandhar/pizza-hut-model-town/order,Model Town,"5,636",Jalandhar
Pizza Hut,?200 for one,Fast Food,4,https://www.zomato.com/jalandhar/pizza-hut-model-town/order,Model Town,"5,636",Jalandhar
Pizza Hut,?200 for one,Desserts,4,https://www.zomato.com/jalandhar/pizza-hut-model-town/order,Model Town,"5,636",Jalandhar
Bowl Wala,?200 for one,Chinese,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,Continental,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,Oriental,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,Fast Food,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,Desserts,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Bowl Wala,?200 for one,Beverages,4,https://www.zomato.com/jalandhar/bowl-wala-ppr-market/order,PPR Market,"2,159",Jalandhar
Dimcy Nutri Kulcha,?100 for one,North Indian,4.1,https://www.zomato.com/jalandhar/dimcy-nutri-kulcha-shastri-nagar/order,Shastri Nagar,"7,554",Jalandhar
